lambani,hindi
बाप बाजार गोच,पापा बाजार गए।
या खानों कार्रीच,माँ खाना बना रही है।
चाचबर रामरैच,बच्चे खेल रहे हैं।
तड़कों गण जापा च,गर्मी बहुत ज्यादा है।
मन पानी चानू,मुझे पानी चाहिए।
ई बुक गण अच्छों च,यह बुक बहुत अच्छी है।
तू कत जा री ची,तुम कहाँ जा रहे हो?
मन संगीत अच्छों लागच,मुझे संगीत पसंद है।
सड़क गण लांब च,सड़क बहुत लंबी है।
गाड़ी दौड़ जा री च,गाड़ी तेज चल रही है।
शिक्षक कक्षा माय ओद्सारोच,शिक्षक कक्षा में पढ़ा रहे हैं।
मा अब सोयेन जांचू,मैं अब सोने जा रहा हूँ।
हम सवार यात्रान जारे चा,हम कल यात्रा पर जाएंगे।
मन राममेर गण इष्टा वच,मुझे खेलना बहुत पसंद है।
सूर्य चमक रोच,सूरज चमक रहा है।
नदी गण आला च,नदी बहुत गहरी है।
काय तू चा पीछी का,क्या तुम चाय पीना चाहोगे?
मन ओदेरो गण इष्टा लागच,मुझे पढ़ना अच्छा लगता है।
वो भर्ती होशियार कुंडा च,वह बहुत होशियार लड़का है।
तार ध्वनि गण सुरीली च,तुम्हारी आवाज़ बहुत सुरीली है।
वाल ठंड चल रीच,हवा ठंडी चल रही है।
सिब्बी कुर्सी पर बेटीच,बिल्ली कुर्सी पर बैठी है।
पेड़ हरा भरा च,पेड़ हरे-भरे हैं।
बाजारे माय गण भीड़ च,बाज़ार में बहुत भीड़ है।
मन आंबा कायरों इष्टा च,मुझे आम खाना पसंद है।
ये शहर गण सुंदर च,यह शहर बहुत सुंदर है।
तू कन्न वापस आच्छी,तुम कब वापस आओगे?
म परीक्षार तैयारी करनू,मुझे परीक्षा की तैयारी करनी है।
चाचबर स्कूल जा रे च,बच्चे स्कूल जा रहे हैं।
तार घड़ी  कतरा बजे का च,तुम्हारी घड़ी कितने बजे की है?
तम घन अच्छों गांवों चो,तुम बहुत अच्छा गाते हो।
हाथी जंगल माय घूम रीच,हाथी जंगल में घूम रहा है।
ये फिल्म घन अच्छों च,यह फिल्म बहुत अच्छा है।
बिजली चमक रीच,बिजली चमक रही है।
मा दाड़ी पार्बती जल्दी उठूचु,मैं रोज सुबह जल्दी उठता हूँ।
ये दुकान गण महंगा च,यह दुकान बहुत महंगी है।
पानी गण ठंड च,पानी बहुत ठंडा है।
रात माय तारे चमक च,रात में तारे चमकते हैं।
काय तू खबर सुनी,क्या तुमने खबर सुनी?
वाडी मा फूल छूट मलीच,बगीचे में फूल खिले हैं।
चालकोड़ी गीद बोलरीच,चिड़िया गा रही है।
मन्न साथ चाणो,मुझे मदद की जरूरत है।
हम आटा शुरू करा?,हम खेल शुरू करें?
सागर भारी मोटो छा,समुद्र बहुत बड़ा है।
तोन् जल्दी आयन वच का?,क्या तुम जल्दी आ सकते हो?
आज मसद पाणी पड़ी,आज बहुत बारिश हुई।
मन्न तार वाते मसद आच लागि,मुझे तुम्हारी बात पसंद आई।
हम से बरोबरया हाव,हम सब दोस्त हैं।
तार घर मसद आच छा,तुम्हारा घर बहुत सुंदर है।
ओधेरों मुख्य हाव,पढ़ाई ज़रूरी है।
मां तोन इष्ठा कर्रोचू,मैं तुम्हें पसंद करता हूँ।
तु कना आयो,तुम कब आए?
ई मार सपनो हाव,यह मेरा सपना है।
तार हासाणी मसद आच छा,तुम्हारी हंसी बहुत प्यारी है।
ई मसद बिगी काम हाव,यह बहुत कठिन काम है।
आजेर दाड़ो मसद आच छा,आज का दिन अच्छा है।
मा चूलो कर्रोचू,मैं खाना बना रहा हूँ।
तू नष्टा कीदो का,क्या तुमने नाश्ता किया?
वाटे पर ट्रैफिक मसद छा,सड़क पर ट्रैफिक ज्यादा है।
मा नोवो फ़ोन लीदो,मैंने नया फोन खरीदा।
मन्न भूक लाग रीच,मुझे भूख लगी है।
मार सहाया कर,मेरी मदद करो।
तोन मार वाते मालाम विका,क्या तुम मेरी बात समझे?
सोवर मार जन्मदिन हाव,कल मेरा जन्मदिन है।
ई मार भाई हाव,यह मेरा भाई है।
बालक रो रोच,बच्चा रो रहा है।
तु कई कर रोची,तुम क्या कर रहे हो?
ई मसद हुळी काम हाव,यह बहुत आसान है।
आज दीथवार हाव,आज रविवार है।
तार ढाल मसद आच छा,तुम्हारी आवाज़ बहुत अच्छी है।
मन्न फ़िल्म इष्टा,मुझे फिल्में पसंद हैं।
ई कुणस रंग हाव,यह कौन सा रंग है?
चा ताथो छा,चाय गरम है।
मार कन्न वगत छेनी,मेरे पास समय नहीं है।
तू एन दीटोची?,क्या तुमने यह देखा?
तू कथरावाळा रेची,तुम कब तक रहोगे?
ई तार सामान हाव,यह तुम्हारा सामान है?
मां मार किताब ओद्रोचू,मैं अपनी किताब पढ़ रहा हूँ।
तू ख़ुश छी का,क्या तुम खुश हो?
ई घर मसद मोटो छा,यह घर बहुत बड़ा है।
तू माती रीस कर मालिची का?,क्या तुम मुझसे नाराज हो?
ई मसद आच छा,यह बहुत स्वादिष्ट है।
तार सोच आच छा,तुम्हारी सोच अच्छी है।
तोन गाडी मारेन आच का,क्या तुम गाड़ी चला सकते हो?
